Retraining 186 models with 15 features...
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

CoinGecko market_chart for ETH-USD: 180 candles, latest $2,019.26
[61/186] ✓ MSTR: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[62/186] ✓ JPM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[63/186] ✓ GS: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[64/186] ✓ BAC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[65/186] ✓ V: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[66/186] ✓ MA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[67/186] ✓ DIS: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[68/186] ✓ BABA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[69/186] ✓ TSM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[70/186] ✓ ASML: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[71/186] ✓ ABNB: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[72/186] ✓ SNOW: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[73/186] ✓ NET: 704 rows, classes=['BUY', 'HOLD', 'SELL']
[74/186] ✓ GC=F: 678 rows, classes=['BUY', 'HOLD', 'SELL']
[75/186] ✓ CL=F: 706 rows, classes=['BUY', 'HOLD', 'SELL']
[76/186] ✓ SI=F: 615 rows, classes=['BUY', 'HOLD', 'SELL']
[77/186] ✓ NG=F: 707 rows, classes=['BUY', 'HOLD', 'SELL']
[78/186] ✓ HG=F: 694 rows, classes=['BUY', 'HOLD', 'SELL']
[79/186] ✓ EURUSD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[80/186] ✓ ZW=F: 673 rows, classes=['BUY', 'HOLD', 'SELL']
[81/186] ✓ GBPUSD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
[82/186] ✓ USDJPY=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
